Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
United States of America,Americas,25676612,77572.22,1072287,164415,433173,1308.67,22506,3521,Community transmission
India,South-East Asia,10746183,7787.06,91650,13052,154274,111.79,935,127,Clusters of cases
Brazil,Americas,9118513,42898.65,364593,59826,222666,1047.55,7423,1119,Community transmission
Russian Federation,Europe,3850439,26384.71,131039,18359,73182,501.47,3720,485,Clusters of cases
The United Kingdom,Europe,3743738,55147.41,126275,0,103126,1519.11,5797,0,Community transmission
France,Europe,3126351,47896.17,141092,24136,75466,1156.15,2982,242,Community transmission
Spain,Europe,2705001,57855.07,109866,0,57806,1236.37,1153,0,Community transmission
Italy,Europe,2541783,42039.47,86598,12713,88279,1460.08,3117,421,Clusters of cases
Turkey,Europe,2470901,29297.23,46573,6871,25865,306.68,932,129,Community transmission
Germany,Europe,2216363,26453.31,81427,11192,56945,679.66,5075,399,Community transmission
Colombia,Americas,2077633,40831.66,90215,10058,53284,1047.19,2698,371,Community transmission
Argentina,Americas,1915362,42379.23,61532,9838,47775,1057.07,1200,174,Community transmission
Mexico,Americas,1841893,14285.69,109603,16374,156579,1214.42,8965,1434,Community transmission
Poland,Europe,1513385,39987.33,37940,4711,37180,982.39,1817,98,Community transmission
South Africa,Africa,1449236,24435.47,44397,5297,43951,741.05,3377,318,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1411731,16807.73,44699,6317,57889,689.21,595,82,Community transmission
Ukraine,Europe,1219455,27883.61,27643,3177,22707,519.21,846,79,Community transmission
Peru,Americas,1125875,34146.55,37779,6190,40686,1233.96,1259,202,Community transmission
Indonesia,South-East Asia,1066313,3898.43,88839,14518,29728,108.69,2064,210,Community transmission
Czechia,Europe,984774,91957.77,47157,4060,16308,1522.83,939,97,Community transmission
Netherlands,Europe,974775,56888.37,31083,4211,13959,814.65,456,88,Community transmission
Canada,Americas,770793,20422.6,33386,4690,19801,524.64,973,137,Community transmission
Romania,Europe,726918,37786.14,17724,2668,18264,949.39,542,68,Community transmission
Chile,Americas,722900,37816.09,28253,4151,18339,959.34,485,82,Community transmission
Portugal,Europe,711018,69730.15,86549,12435,12179,1194.4,1985,293,Clusters of cases
Belgium,Europe,707837,61075.07,13187,0,21066,1817.66,260,0,Community transmission
Israel,Europe,637242,73622.49,45194,7100,4722,545.55,406,41,Community transmission
Iraq,Eastern Mediterranean,618922,15387.46,6052,775,13041,324.22,53,5,Community transmission
Sweden,Europe,566957,56138.44,16073,0,11591,1147.71,76,0,Community transmission
Pakistan,Eastern Mediterranean,543214,2459.18,12396,2183,11623,52.62,376,63,Community transmission
Bangladesh,South-East Asia,534770,3247.14,3444,363,8111,49.25,108,17,Community transmission
Philippines,Western Pacific,523516,4777.43,11837,2103,10669,97.36,479,69,Community transmission
Switzerland,Europe,518759,59940.11,8120,0,8601,993.8,138,0,Community transmission
Morocco,Eastern Mediterranean,470691,12752.2,4922,701,8259,223.76,131,13,Clusters of cases
Austria,Europe,409892,45511.2,9705,1519,7636,847.84,318,31,Community transmission
Serbia,Europe,393897,56563.81,11612,1543,4000,574.4,132,17,Community transmission
Japan,Western Pacific,386742,3057.82,26081,3659,5654,44.7,635,108,Clusters of cases
Saudi Arabia,Eastern Mediterranean,367813,10565.13,1628,270,6372,183.03,22,4,Sporadic cases
Hungary,Europe,367586,38051,8012,1307,12524,1296.43,556,61,Community transmission
Jordan,Eastern Mediterranean,325674,31919.02,6155,641,4304,421.83,87,23,Community transmission
Panama,Americas,318253,73759.02,10460,1445,5221,1210.03,241,25,Community transmission
United Arab Emirates,Eastern Mediterranean,300661,30399.27,26285,3647,838,84.73,55,12,Community transmission
Lebanon,Eastern Mediterranean,298913,43793.92,22326,2631,3031,444.07,751,351,Community transmission
Nepal,South-East Asia,270854,9295.94,1674,109,2027,69.57,33,2,Clusters of cases
Georgia,Europe,258111,64702.98,4593,479,3178,796.66,123,19,Community transmission
Slovakia,Europe,249913,45774.61,13437,2914,4642,850.24,574,77,Clusters of cases
Ecuador,Americas,249779,14157.36,11547,3779,14851,841.75,255,85,Community transmission
Belarus,Europe,246570,26093.93,10711,1852,1708,180.75,69,10,Community transmission
Kazakhstan,Europe,234569,12492.55,8678,0,3035,161.64,0,0,Clusters of cases
Croatia,Europe,232426,56616.54,3506,336,5027,1224.52,200,29,Community transmission
